zip,dir,date,diff
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980410220118_19980420231952_CVB_000000_V003.ZIP,1.19980411S10/,1998-04-11,0
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980430221105_19980510233903_CVB_000000_V003.ZIP,1.19980501S10/,1998-05-01,20
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980510220635_19980520234651_CVB_000000_V003.ZIP,1.19980511S10/,1998-05-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980520221403_19980531233512_CVB_000000_V003.ZIP,1.19980521S10/,1998-05-21,10
V:/SPOT2/SV04_VG1_S10___RM__19980531220254_19980610233938_CVB_000000_V003.ZIP,1.19980601S10/,1998-06-01,11
V:/SPOT2/SV04_VG1_S10___RM__19980610221031_19980620234733_CVB_000000_V003.ZIP,1.19980611S10/,1998-06-11,10
V:/SPOT2/SV04_VG1_S10___RM__19980620220606_19980630235527_CVB_000000_V003.ZIP,1.19980621S10/,1998-06-21,10
V:/SPOT2/SV04_VG1_S10___RM__19980701001627_19980710235340_CVB_000000_V003.ZIP,1.19980701S10/,1998-07-01,10
V:/SPOT2/SV04_VG1_S10___RM__19980710222152_19980720225554_CVB_000000_V003.ZIP,1.19980711S10/,1998-07-11,10
V:/SPOT2/SV04_VG1_S10___RM__19980720211956_19980731235931_CVB_000000_V003.ZIP,1.19980721S10/,1998-07-21,10
V:/SPOT2/SV04_VG1_S10___RM__19980731221803_19980810225542_CVB_000000_V003.ZIP,1.19980801S10/,1998-08-01,11
V:/SPOT2/SV04_VG1_S10___RM__19980810222552_19980820225950_CVB_000000_V003.ZIP,1.19980811S10/,1998-08-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980820212342_19980831225145_CVB_000000_V003.ZIP,1.19980821S10/,1998-08-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980831222155_19980910225559_CVB_000000_V003.ZIP,1.19980901S10/,1998-09-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980910212001_19980920230212_CVB_000000_V003.ZIP,1.19980911S10/,1998-09-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980920212743_19980930224531_CVB_000000_V003.ZIP,1.19980921S10/,1998-09-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19980930213513_19981010225320_CVB_000000_V003.ZIP,1.19981001S10/,1998-10-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19981010214242_19981020230117_CVB_000000_V003.ZIP,1.19981011S10/,1998-10-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19981020214059_19981031225044_CVB_000000_V003.ZIP,1.19981021S10/,1998-10-21,10
V:/SPOT2/SV04_VG1_S10___RM__19981031213916_19981110225926_CVB_000000_V003.ZIP,1.19981101S10/,1998-11-01,11
V:/SPOT2/SV04_VG1_S10___RM__19981110213728_19981120230805_CVB_000000_V003.ZIP,1.19981111S10/,1998-11-11,10
V:/SPOT2/SV04_VG1_S10___RM__19981120215417_19981130220153_CVB_000000_V003.ZIP,1.19981121S10/,1998-11-21,10
V:/SPOT2/SV04_VG1_S10___RM__19981130220153_19981210232436_CVB_000000_V003.ZIP,1.19981201S10/,1998-12-01,10
V:/SPOT2/SV04_VG1_S10___RM__19981210215438_19981220233235_CVB_000000_V003.ZIP,1.19981211S10/,1998-12-11,10
V:/SPOT2/SV04_VG1_S10___RM__19981220221147_19981231232044_CVB_000000_V003.ZIP,1.19981221S10/,1998-12-21,10
V:/SPOT2/SV04_VG1_S10___RM__19981231220536_19990110232810_CVB_000000_V003.ZIP,1.19990101S10/,1999-01-01,11
